timestamp,Altiva Equity Ex-Top 100 Long-Short Fund,Altiva Hybrid Long-Short Fund,Apex Hybrid Long-Short Fund,Arthaya Equity Long Short Fund,Arudha Equity Long-Short Fund,Arudha Hybrid Long-Short Fund,Diviniti Equity Long Short Fund,DynaSIF Active Asset Allocator Long-Short Fund,DynaSIF Equity Ex-Top 100 Long-Short Fund,DynaSIF Equity Long-Short Fund,Infinity Hybrid Long-Short Fund,Magnum Hybrid Long Short Fund,Platinum Hybrid Long-Short Fund,Qsif Active Asset Allocator Long-Short Fund,Qsif Equity Ex-Top 100 Long-Short Fund,Qsif Equity Long-Short Fund,Qsif Hybrid Long-Short Fund,Qsif Sector Rotation Long-Short Fund,RedHex Hybrid Long-Short Fund,Sapphire Equity Long-Short SIF,Titanium Equity Long-Short Fund,Titanium Hybrid Long-Short Fund,WSIF Equity Ex-Top 100 Long-Short Fund,WSIF Equity Long-Short Fund,iSIF Active Asset Allocator Long-Short Fund,iSIF Equity Ex-Top 100 Long-Short Fund,iSIF Equity Long-Short Fund,iSIF Hybrid Long-Short Fund
2025-10-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
